publicationYear,title,isPartOf,docType,issueNumber,volumeNumber,creator
1976,"Face-to-Face: The Alienating Effects of Class, Status and Power Divisions",American Sociological Review,article,5,41,W. Peter Archibald
2005,Border Crossing: Bricolage and the Erosion of Categorical Boundaries in French Gastronomy,American Sociological Review,article,6,70,Hayagreeva Rao; Philippe Monin; Rodolphe Durand
2019,Crossing Categorical Boundaries,American Sociological Review,article,3,84,Dan J. Wang; Hayagreeva Rao; Sarah A. Soule
1979,"Entry into Early Adolescence: The Impact of School Structure, Puberty, and Early Dating on Self-Esteem",American Sociological Review,article,6,44,Roberta G. Simmons; Dale A. Blyth; Edward F. Van Cleave; Diane Mitsch Bush
2019,Does Intra-household Contagion Cause an Increase in Prescription Opioid Use?,American Sociological Review,article,4,84,Mathijs de Vaan; Toby Stuart
2009,Groups Reward Individual Sacrifice: The Status Solution to the Collective Action Problem,American Sociological Review,article,1,74,Robb Willer
2009,"Comment on McPherson, Smith-Lovin, and Brashears, ASR, June 2006: The 2004 GSS Finding of Shrunken Social Networks: An Artifact?",American Sociological Review,article,4,74,Claude S. Fischer
2009,"Deciding to Discipline: Race, Choice, and Punishment at the Frontlines of Welfare Reform",American Sociological Review,article,3,74,Joe Soss; Richard C. Fording; Linda Houser; Sanford F. Schram
2010,Latino Immigrants and the U.S. Racial Order,American Sociological Review,article,3,75,Reanne Frank; Bo Lu; Ilana Redstone Akresh
2008,The Social Production of Toxic Uncertainty,American Sociological Review,article,3,73,Javier Auyero; Debora Swistun
2013,"The Care Economy? Gender, Economic Restructuring, and Job Polarization in the U.S. Labor Market",American Sociological Review,article,3,78,Rachel E. Dwyer
2019,Rhetorics of Radicalism,American Sociological Review,article,4,84,Daniel Karell; Michael Freedman
2016,"Nonmarital First Births, Marriage, and Income Inequality",American Sociological Review,article,4,81,Suzumi Yasutake; Andrew J. Cherlin; David C. Ribar
1982,Social Inventions for Solving Human Problems,American Sociological Review,article,1,47,William Foote Whyte
1983,The Devil's Techniques: Cultural Legitimation and Social Change,American Sociological Review,article,5,48,Wendy Griswold
1988,"Exploring the Social Sources of Denominationalism: Schisms in American Protestant Denominations, 1890-1980",American Sociological Review,article,3,53,Robert C. Liebman; John R. Sutton; Robert Wuthnow
2016,Neighborhood Attainment over the Adult Life Course,American Sociological Review,article,6,81,Amy Spring; Ying Huang; Kyle Crowder; Scott J. South
2014,Economies of Dying: The Moralization of Economic Scarcity in U.S. Hospice Care,American Sociological Review,article,5,79,Roi Livne
1993,"Class Consciousness and Political Change: Voting and Political Attitudes in the British Working Class, 1964 to 1970",American Sociological Review,article,3,58,David Weakliem
2014,Coached for the Classroom: Parents’ Cultural Transmission and Children’s Reproduction of Educational Inequalities,American Sociological Review,article,5,79,Jessica McCrory Calarco
1977,Sex Roles and Interpersonal Behavior in Task-Oriented Groups,American Sociological Review,article,1,42,B. F. Meeker; P. A. Weitzel-O'Neill
1967,"America's Unique Class Politics: The Interplay of the Labor, Credit and Commodity Markets",American Sociological Review,article,4,32,Norbert Wiley
2004,"""Generations and Collective Memory"" Revisited: Race, Region, and Memory of Civil Rights",American Sociological Review,article,4,69,Larry J. Griffin
2018,Difficult People: Who Is Perceived to Be Demanding in Personal Networks and Why Are They There?,American Sociological Review,article,1,83,Claude S. Fischer; Shira Offer
2007,"Adoptive Parents, Adaptive Parents: Evaluating the Importance of Biological Ties for Parental Investment",American Sociological Review,article,1,72,Brian Powell; Simon Cheng; Laura Hamilton
1974,Inequality and Social Structure: A Comparison of Marx and Weber,American Sociological Review,article,2,39,Reinhard Bendix
1963,On Social Regression,American Sociological Review,article,3,28,Philip E. Slater
1989,"Social Protest, Hegemonic Competition, and Social Reform: A Political Struggle Interpretation of the Origins of the American Welfare State",American Sociological Review,article,6,54,J. Craig Jenkins; Barbara G. Brents
1977,"""Situation"" versus ""Frame"": The ""Interactionist"" and the ""Structuralist"" Analyses of Everyday Life",American Sociological Review,article,6,42,George Gonos
2009,"Hispanics and Organized Labor in the United States, 1973 to 2007",American Sociological Review,article,6,74,Jake Rosenfeld; Meredith Kleykamp
1947,Sociological Theory in Public Opinion and Attitude Studies,American Sociological Review,article,3,12,Alfred McClung Lee
1996,Dignity in the Workplace Under Participative Management: Alienation and Freedom Revisited,American Sociological Review,article,5,61,Randy Hodson
